"id","repo_fullname","commits_count","commits_days_since_first","commits_days_since_last","commits_total_lines_added","commits_total_lines_removed","commits_avg_added","commits_avg_removed","commits_avg_files_changed","commits_avg_message_length","commits_avg_per_day","commits_avg_per_day_real","commits_max_per_day","contributors_count","contributors_top_avg_commits","contributors_top_avg_participation_week","contributors_top_avg_additions","contributors_top_avg_deletions","forks_count","forks_avg_per_day","forks_avg_max_per_day","issues_total_comments","issues_count","issues_open","issues_labels","issues_avg_labels","issues_avg_closing_time","issues_avg_comment_time","issues_avg_comments","issues_avg_comment_length","issues_avg_title_length","issues_avg_body_length","issues_avg_per_day","issues_avg_per_day_real","issues_max_per_day","repo_size","repo_topics","repo_branches","repo_age_days","repo_workflows","repo_languages","repo_milestones","repo_watchers","repo_deployments","repo_readme_length","repo_network_members","pulls_count","pulls_total_lines_added","pulls_total_lines_removed","pulls_avg_lines_added","pulls_avg_lines_removed","pulls_avg_closing_time","pulls_avg_comments","pulls_avg_review_comments","pulls_avg_Commits","pulls_avg_body_length","pulls_avg_title_length","pulls_avg_files_changed","pulls_avg_labels","pulls_avg_created_per_day","pulls_avg_created_per_day_real","pulls_max_created_per_day","releases_count","releases_tags","releases_total_downloads","releases_avg_body_length","releases_avg_title_length","releases_avg_assets","releases_avg_assets_downloads","releases_avg_assets_size","releases_avg_downloads_per_day","stars_count","stars_avg_per_day_real","stars_max_per_day","wf_count","wf_avg_duration","wf_avg_success_duration","wf_avg_failure_duration","wf_avg_successes_per_day","wf_avg_successes_per_day_real","wf_avg_fails_per_day","created_at","updated_at"
1,"Azure-Samples/azure-cosmos-db-partition-key-advisor",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,1,41820,0,12,0,1,3,6,5,0,0,0,0,0,151,72,1296,0,1,1,783,0,1,961,0,4,0,20,0,1492,12,1,10,24,10,24,0,1,0,1,1286,72,2,0,0,1,1,0,0,0,0,0,0,0,0,NULL,20,1,3,0,0,0,0,0,0,0,"2022-03-02 21:42:10.776141","2022-03-02 21:42:10.776141"
2,"Azure-Samples/sql-database-dotnet-manage-sql-virtual-network-rules",3,779,408,35735,6,11912,2,32,16,NULL,1,1,2,1,1,11911,2,0,0,0,0,1,1,1,1,0,0,0,0,75,2529,0,1,1,27570,0,2,780,0,7,0,0,0,1703,0,1,1,1,1,1,0,0,0,1,2529,75,1,1,0,1,1,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0,0,0,"2022-03-02 21:42:24.00851","2022-03-02 21:42:24.00851"
3,"Azure-Samples/network-dotnet-manage-virtual-network-to-virtual-network-vpn-connection",17,1609,408,39845,4021,2344,237,8,17,NULL,1,2,7,2,2,2343,236,3,0,1,0,1,1,1,1,0,0,0,0,75,2202,0,1,1,28130,0,2,1617,0,7,0,2,0,2175,3,1,1,1,1,1,0,0,0,1,2202,75,1,1,0,1,1,4,4,298,0,57,1,74,28306705,NULL,2,1,1,0,0,0,0,0,0,0,"2022-03-02 21:42:44.594813","2022-03-02 21:42:44.594813"
4,"microsoftgraph/angular-connect-rest-sample",94,2361,1147,2915,1556,31,17,2,36,NULL,3,14,9,6,2,23,1,22,0,1,33,22,0,7,0,0,0,1,221,38,169,0,1,3,168,0,4,2361,0,3,0,48,0,5368,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,48,1,1,0,0,0,0,0,0,0,"2022-03-02 21:43:42.633921","2022-03-02 21:43:42.633921"
5,"Azure/blackbelt-aks-hackfest",416,1541,748,108328,20522,260,49,6,48,NULL,6,51,20,12,2,390,309,270,0,9,182,188,67,19,0,0,0,0,316,40,1966,0,1,9,222454,7,73,1541,0,5,1,215,0,4282,341,60,42616,16516,710,275,0,0,0,1,5581,45,2,0,0,1,3,0,0,0,0,0,0,0,0,NULL,215,1,6,0,0,0,0,0,0,0,"2022-03-02 21:48:52.970515","2022-03-02 21:48:52.970515"
6,"doubleencore/de-ListComprehensions",2,3120,3120,1356,0,678,0,11,47,NULL,2,2,2,1,1,678,0,0,0,0,1,1,1,1,1,0,0,1,527,42,849,0,1,1,140,0,2,3120,0,1,0,2,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,2,1,1,0,0,0,0,0,0,0,"2022-03-02 21:49:02.809161","2022-03-02 21:49:02.809161"
7,"MathieuHoude/ExerciceGit1",49,1001,415,119,60,2,1,1,27,NULL,3,8,14,2,1,2,1,98,0,18,1,35,8,0,0,0,0,0,26,20,14,0,2,9,52,0,91,967,0,0,0,1,0,1832,98,8,44,6,5,0,0,0,0,1,2,21,1,0,0,1,2,0,0,0,0,0,0,0,0,NULL,1,1,1,0,0,0,0,0,0,0,"2022-03-02 21:49:46.017435","2022-03-02 21:49:46.017435"
8,"Azure/azure-functions-servicebus-extension",327,2861,21,23081,12012,71,37,6,71,NULL,1,6,23,12,7,112,83,31,0,2,758,175,65,104,0,0,0,4,444,59,1144,0,1,4,517,0,8,989,0,1,59,51,0,1080,31,5,610,118,122,23,0,0,3,1,212,53,6,0,0,1,1,9,9,21,287,51,0,7,67619,NULL,51,1,2,0,0,0,0,0,0,0,"2022-03-02 21:55:33.67322","2022-03-02 21:55:33.67322"
9,"MicrosoftDocs/IntuneDocs.zh-cn",2897,2197,709,3813014,3195195,1316,1103,13,52,NULL,3,29,19,130,13,1142,1139,3,0,1,27,24,0,5,0,0,0,1,77,20,145,0,1,1,71513,0,4,2086,0,1,0,4,0,4124,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,4,1,1,0,0,0,0,0,0,0,"2022-03-02 22:31:25.323947","2022-03-02 22:31:25.323947"
10,"MicrosoftDocs/EnableXliffTranformGitHubProd.pt-BR",2,1297,128,607,2,304,1,5,94,NULL,1,1,2,1,1,303,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,9,1297,0,1,0,2,0,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,2,1,1,0,0,0,0,0,0,0,"2022-03-02 22:31:34.887263","2022-03-02 22:31:34.887263"
